Symbol,Name,Country,Date,Type,Last,Unit,URL,Importance,Forecast1,ForecastDate1,Forecast2,ForecastDate2,Forecast3,ForecastDate3,Forecast4,ForecastDate4
ETHUSD:CUR,Ether,other,2024-11-22T12:05:24.277,currency,3341.1,,/ethusd:cur,202,2491.419551,31/12/2024,2367.949519,31/03/2025,2250.509121,30/06/2025,2138.835673,30/09/2025
DAIUSD:CUR,Dai,other,2024-11-22T11:41:29.013,currency,0.9999,,/daiusd:cur,215,0.988835,31/12/2024,0.97824,31/03/2025,0.967745,30/06/2025,0.95745,30/09/2025
XLMUSD:CUR,Stellar,other,2024-11-22T12:04:07.437,currency,0.29506,,/xlmusd:cur,221,0.092252,31/12/2024,0.088037,31/03/2025,0.084016,30/06/2025,0.080178,30/09/2025
XMRUSD:CUR,Monero,other,2024-11-22T12:03:47.203,currency,159.77,,/xmrusd:cur,222,150.12849,31/12/2024,140.366123,31/03/2025,131.246019,30/06/2025,122.720005,30/09/2025
LNKUSD:CUR,Chainlink,other,2024-11-22T12:04:54.88,currency,15.31309,,/lnkusd:cur,223,11.085144,31/12/2024,10.347718,31/03/2025,9.660166,30/06/2025,9.017738,30/09/2025
USDBTC:CUR,USDBTC,other,2024-11-21T00:00:00,currency,0.00001,,/usdbtc:cur,224,0.000014,31/12/2024,0.000015,31/03/2025,0.000015,30/06/2025,0.000016,30/09/2025
USTUSD:CUR,Tether,other,2024-11-22T12:04:47.447,currency,1.00087,,/ustusd:cur,224,0.99978,31/12/2024,0.99918,31/03/2025,0.998579,30/06/2025,0.997979,30/09/2025
USCUSD:CUR,USD Coin,other,2024-11-22T12:03:49.483,currency,1,,/uscusd:cur,225,0.99987,31/12/2024,0.99987,31/03/2025,0.99987,30/06/2025,0.99987,30/09/2025
USDBGN:CUR,USDBGN,Bulgaria,2024-11-22T12:05:36,currency,1.87649,,/bulgaria/currency,250,1.826592,31/12/2024,1.836764,31/03/2025,1.847117,30/06/2025,1.857471,30/09/2025
USDJOD:CUR,USDJOD,Jordan,2024-11-22T12:05:27,currency,0.7091,,/jordan/currency,250,0.710009,31/12/2024,0.710719,31/03/2025,0.711428,30/06/2025,0.712137,30/09/2025
USDKWD:CUR,USDKWD,Kuwait,2024-11-22T12:05:21,currency,0.3078,,/kuwait/currency,250,0.307177,31/12/2024,0.307484,31/03/2025,0.307791,30/06/2025,0.308097,30/09/2025
USDVES:CUR,USDVES,Venezuela,2024-11-22T12:05:42,currency,46.28719,,/venezuela/currency,250,43.637658,31/12/2024,43.872035,31/03/2025,44.110753,30/06/2025,44.349472,30/09/2025
USDZIG:CUR,Zimbabwean Gold USDZiG,Zimbabwe,2024-11-22T00:00:00,currency,25.3326,,/zimbabwe/currency,250,27.82739,31/12/2024,29.768049,31/03/2025,31.841381,30/06/2025,34.060392,30/09/2025
